date,slug,topic,goal,notes
2025-11-02,2025-11-02-donanemab-kisunla-for-early-alzheimers-pcp-role-in-counseling-referral,Donanemab (Kisunla) for early Alzheimer’s: PCP role in counseling/referral,FDA approval mid-2024; coverage pathways evolving,Specialist-care awareness
2025-11-03,2025-11-03-uspstf-breast-cancer-screening-now-begins-at-age-40-biennial,USPSTF breast cancer screening now begins at age 40 (biennial),Final USPSTF recommendation issued in 2024,Preventive
2025-11-04,2025-11-04-rsv-prevention-in-pregnancy-abrysvo-and-infant-protection-coordination,RSV prevention in pregnancy (Abrysvo) and infant protection coordination,ACIP 2024 refined guidance impacts prenatal counseling,Preventive
2025-11-05,2025-11-05-lecanemab-program-logistics-infusion-monitoring-referral-criteria,"Lecanemab program logistics (infusion, monitoring, referral criteria)",Companion option with ongoing access/monitoring issues in 2024–2025,Specialist-care awareness
2025-11-06,2025-11-06-chronic-kidney-disease-kdigo-2024-emphasizes-sglt2i-glp-1ra-across-ckd-risks,Chronic kidney disease: KDIGO 2024 emphasizes SGLT2i/GLP-1RA across CKD risks,Updated practice guidance influences primary care med choices,Treatment
2025-11-07,2025-11-07-diabetes-obesity-sequencing-glp-1ra-tirzepatide-sglt2i-in-ckm-framework,"Diabetes + obesity: sequencing GLP-1RA, tirzepatide, SGLT2i in CKM framework",ADA 2025 emphasizes weight-centric and organ-protective choices,Treatment
2025-11-08,2025-11-08-diabetes-standards-of-care-2025-ckm-framing-cgm-wider-use-weight-first-meds,"Diabetes Standards of Care 2025: CKM framing, CGM wider use, weight-first meds",ADA released 2025 Standards in Dec 2024,Preventive
2025-11-09,2025-11-09-pediatric-oncology-bispecific-antibodies-frontline-for-all,Pediatric oncology: bispecific antibodies frontline for ALL,2024–25 approvals shift treatment paradigms.,Pediatrics/Oncology
2025-11-10,2025-11-10-updated-cervical-cancer-screening-hpv-self-collection-option-in-clinics,Updated cervical cancer screening (HPV self-collection option in clinics),USPSTF draft updated late 2024 to allow clinician- or patient-collected HPV testing ages 30–65,Preventive
2025-11-11,2025-11-11-new-indication-wegovy-semaglutide-to-reduce-cv-risk-in-adults-with-cvd-and-obesity,New indication: Wegovy (semaglutide) to reduce CV risk in adults with CVD and obesity,Label expanded in 2024 with CV outcomes data,Treatment
2025-11-12,2025-11-12-atrial-fibrillation-and-stroke-prevention-referral-thresholds-with-new-devices,Atrial fibrillation and stroke prevention: referral thresholds with new devices,New data/devices discussed in 2024–2025 cardiology updates,Specialist-care awareness
2025-11-13,2025-11-13-rsv-second-season-considerations-and-which-adults-truly-benefit,RSV: second-season considerations and which adults truly benefit,2024 ACIP update clarified higher-risk groups,Preventive
2025-11-14,2025-11-14-metabolic-surgery-in-adolescents,Metabolic surgery in adolescents,2025 guidance supports earlier referrals for obesity/DM prevention.,Surgery/Endocrinology
2025-11-15,2025-11-15-cervical-screening-preparing-clinics-for-hpv-self-collection-workflows,Cervical screening: preparing clinics for HPV self-collection workflows,Draft USPSTF 2024 suggests patient-collected samples in clinical settings,Preventive
2025-11-16,2025-11-16-renal-denervation-for-resistant-hypertension-and-ckd,Renal denervation for resistant hypertension and CKD,Positive 2025 trial data revive interventional nephrology interest.,Nephrology/Cardiology
2025-11-17,2025-11-17-kidney-protective-diabetes-care-albuminuria-testing-uptake,Kidney-protective diabetes care: albuminuria testing uptake,CKD guidance refresh (2024) pushes earlier SGLT2i use,Treatment
2025-11-18,2025-11-18-prehabilitation-programs-before-orthopedic-vascular-surgery,Prehabilitation programs before orthopedic & vascular surgery,2025 perioperative guidelines emphasize frailty and mobility.,Orthopedics/Surgery
2025-11-19,2025-11-19-novel-migraine-therapies-gepants-ditans-enter-realworld-use,"Novel migraine therapies (gepants, ditans) enter real‑world use",2025 data show increasing adoption across specialties.,Neurology
2025-11-20,2025-11-20-genetherapy-celltherapy-injectables-entering-hospital-formularies,Gene‑therapy & cell‑therapy injectables entering hospital formularies,New HCPCS codes effective July 2025; expanding access.,Hematology/Oncology
2025-11-21,2025-11-21-h5n1-conjunctivitis-predominant-presentations-and-oseltamivir-pep,H5N1: conjunctivitis-predominant presentations and oseltamivir PEP,CDC 2024–2025 clinician alerts for exposed workers,Preventive
2025-11-22,2025-11-22-h5n1-avian-influenza-exposures-dairy-farm-workers-when-to-test-treat,H5N1 avian influenza exposures (dairy/farm workers): when to test/treat,CDC clinician guidance updated through 2024–2025,Preventive
2025-11-23,2025-11-23-enhanced-recovery-after-surgery-eras-3-0-protocols,Enhanced recovery after surgery (ERAS) 3.0 protocols,Frailty screening and outpatient pathways emphasized 2025.,Surgery/Anesthesiology
2025-11-24,2025-11-24-osteoporosis-screening-refresh-women-65-younger-high-risk,Osteoporosis screening refresh (women ≥65; younger high-risk),USPSTF finalized an updated statement in Jan 2025,Preventive
2025-11-25,2025-11-25-adult-meningococcal-vaccines-menabcwy-options-for-1025-college-entry,Adult meningococcal vaccines (MenABCWY options for 10–25; college entry),ACIP actions 2024–2025 and new products (Penmenvy 2025),Preventive
2025-11-26,2025-11-26-dementia-risk-reduction-in-primary-care-bp-diabetes-hearing,"Dementia risk reduction in primary care (BP, diabetes, hearing)",Guideline and policy attention grew through 2024–2025,Preventive
2025-11-27,2025-11-27-advanced-colorectal-cancer-immunotherapy-targeted-combinations,Advanced colorectal cancer: immunotherapy + targeted combinations,2024–2025 approvals for MSI‑H/dMMR disease.,Gastroenterology/Oncology
2025-11-28,2025-11-28-nirsevimab-vs-maternal-rsv-vaccine-counseling-parents-this-season,Nirsevimab vs maternal RSV vaccine: counseling parents this season,2024–2025 pediatric/OB updates require primary care coordination,Preventive
2025-11-29,2025-11-29-aienabled-precision-medicine-for-inflammatory-skin-diseases,AI‑enabled precision medicine for inflammatory skin diseases,2025 studies show deep‑phenotyping and generative AI applications.,Dermatology
2025-11-30,2025-11-30-community-acquired-pneumonia-updates-shorter-courses-steroid-restraint,Community-acquired pneumonia updates (shorter courses; steroid restraint),ATS issued an updated CAP guideline in 2025,Treatment
2025-12-01,2025-12-01-falls-prevention-with-new-osteoporosis-screening-emphasis,Falls prevention with new osteoporosis screening emphasis,USPSTF 2025 final reinforces who/when to screen,Preventive
2025-12-02,2025-12-02-growth-in-specialty-drug-spending-driven-by-oncology-immunology,Growth in specialty drug spending driven by oncology & immunology,Specialty drug market up 40% between 2023–2024.,Pharmacy/Oncology
2025-12-03,2025-12-03-liver-transplantation-exvivo-perfusion-organ-recovery-systems,Liver transplantation: ex‑vivo perfusion & organ recovery systems,Clinical deployment expanding 2025.,Transplant Hepatology
2025-12-04,2025-12-04-doxycycline-post-exposure-prophylaxis-doxy-pep-for-sti-prevention,Doxycycline post-exposure prophylaxis (doxy-PEP) for STI prevention,CDC issued clinical guidelines in 2024,Preventive
2025-12-05,2025-12-05-use-of-non-steroidal-mra-finerenone-in-hfmref-hfpef-patients,Use of non-steroidal MRA Finerenone in HFmrEF/HFpEF patients,New trial FINEARTS (2025) shows benefit in HFmrEF/HFpEF.,Cardiology
2025-12-06,2025-12-06-diagnostic-paracentesis-within-24-h-in-hospitalized-cirrhosis-with-ascites,Diagnostic paracentesis within 24 h in hospitalized cirrhosis with ascites,Recent systematic review supports earlier procedure.,Hepatology/Gastroenterology
2025-12-07,2025-12-07-masld-mash-pharmacotherapy-enters-primary-care-conversation,MASLD/MASH pharmacotherapy enters primary care conversation,Resmetirom FDA-approved March 2024; AASLD updated guidance Oct 2024,Treatment
2025-12-08,2025-12-08-behavioral-health-integration-in-oncology,Behavioral health integration in oncology,Recognition of psychiatric needs in immunotherapy patients.,Psychiatry/Oncology
2025-12-09,2025-12-09-statins-for-primary-prevention-what-uspstf-currently-says-and-doesnt-for-76,Statins for primary prevention: what USPSTF currently says (and doesn’t) for ≥76,Clinicians re-aligning to 2022 USPSTF with 2025 reminders,Treatment
2025-12-10,2025-12-10-statin-intensification-vs-glp-1ra-sglt2i-add-on-for-ascvd-risk,Statin intensification vs GLP-1RA/SGLT2i add-on for ASCVD risk,ADA 2025/AHA CKM framing influences shared decisions,Treatment
2025-12-11,2025-12-11-tirzepatide-approved-for-osa-in-adults-with-obesity,Tirzepatide approved for OSA in adults with obesity,First drug approval for OSA in April 2024,Treatment
2025-12-12,2025-12-12-chronic-pain-neuromodulation-vs-opioid-benchmarks-reset,Chronic pain: neuromodulation vs opioid benchmarks reset,2025 guidelines redefine interventional vs pharmacologic management.,Pain Medicine/Anesthesiology
2025-12-13,2025-12-13-seasonal-flu-202526-whats-changed-for-older-adults,Seasonal flu 2025–26: what’s changed for older adults,"ACIP/CDC update for 2025–26 season (e.g., high-dose/adjuvanted/recombinant preference ≥65)",Preventive
2025-12-14,2025-12-14-pulmonary-arterial-hypertension-sotatercept-winrevair-changes-the-game,Pulmonary arterial hypertension: sotatercept (Winrevair) changes the game,FDA approved in 2024 with label expansion in 2025,Treatment
2025-12-15,2025-12-15-adult-immunizations-in-ckd-diabetes-obesity-pcv-flu-rzv-covid,"Adult immunizations in CKD, diabetes, obesity (PCV/Flu/RZV/COVID)",2025 schedule clarifies risk-based triggers and product choices,Preventive
2025-12-16,2025-12-16-adult-immunization-schedule-2025-key-addenda-mpox-rsv-pcv-updates,"Adult immunization schedule 2025 key addenda (mpox, RSV, PCV updates)",CDC posted 2025 adult schedule and notes during 2025,Preventive
2025-12-17,2025-12-17-crispr-geneediting-therapies-for-sickle-cell-betathalassemia,CRISPR gene‑editing therapies for sickle cell & beta‑thalassemia,Durable remissions in pivotal 2024–25 trials.,Hematology
2025-12-18,2025-12-18-sti-trends-2024-adult-rates-down-but-congenital-syphilis-rising,STI trends 2024: adult rates down but congenital syphilis rising,CDC provisional 2024 surveillance released Sept 2025,Preventive
2025-12-19,2025-12-19-sti-prevention-toolkit-doxy-pep-prep-self-testing-strategies,STI prevention toolkit: doxy-PEP + PrEP + self-testing strategies,CDC 2024–2025 materials and surveillance support combination approaches,Preventive
2025-12-20,2025-12-20-cart-therapy-moving-into-earlier-lines-outpatient-settings,CAR‑T therapy moving into earlier lines & outpatient settings,2024–25 label expansions across hematologic malignancies.,Hematology/Oncology
2025-12-21,2025-12-21-interstitial-lung-disease-ild-earlier-referral-thresholds,Interstitial lung disease (ILD) earlier referral thresholds,2025 guidelines recommend antifibrotic use in mild disease.,Pulmonology
2025-12-22,2025-12-22-osa-beyond-cpap-when-to-consider-pharmacotherapy-or-referral,OSA beyond CPAP: when to consider pharmacotherapy or referral,Tirzepatide OSA approval in 2024 adds options,Specialist-care awareness
2025-12-23,2025-12-23-pharmacotherapy-beyond-cpap-for-osa,Pharmacotherapy beyond CPAP for OSA,"2024–25 approvals (orexin antagonists, tirzepatide) broaden options.",Sleep Medicine
2025-12-24,2025-12-24-lenacapavir-every-6-months-as-hiv-prep-option,Lenacapavir every 6 months as HIV PrEP option,CDC issued a 2025 clinical recommendation after FDA approval,Treatment
2025-12-25,2025-12-25-mpox-jynneos-vaccination-in-at-risk-adults-uptake-boosters,Mpox (Jynneos) vaccination in at-risk adults: uptake & boosters,CDC schedule and notes updated in 2025,Preventive
2025-12-26,2025-12-26-behavioral-health-anxiety-screening-up-to-64-yrs-and-next-step-care,Behavioral health: anxiety screening up to 64 yrs and next-step care,USPSTF recommendation widely operationalized by 2024–2025,Preventive
2025-12-27,2025-12-27-vaccine-co-administration-covid-rsv-flu-for-older-adults-this-season,Vaccine co-administration (COVID/RSV/flu) for older adults this season,Updated schedules and co-admin data summarized in 2024–2025,Preventive
2025-12-28,2025-12-28-covid-19-vaccines-202425-who-still-needs-doses-and-timing,COVID-19 vaccines 2024–25: who still needs doses and timing,ACIP/CDC season updates affect adults with risk and older adults,Preventive
2025-12-29,2025-12-29-hypertension-ascvd-risk-using-prevent-vs-pce-and-what-that-means,Hypertension & ASCVD risk: using PREVENT vs PCE and what that means,Active debate in 2024–2025 on risk calculators and thresholds,Treatment
2025-12-30,2025-12-30-colorectal-screening-optimization-at-age-45-stool-dna-vs-fit-throughput,Colorectal screening optimization at age 45: stool DNA vs FIT throughput,Continuing emphasis with operational refinements in 2024–2025,Preventive
2025-12-31,2025-12-31-advanced-endoscopy-eusguided-gallbladder-drainage-etc,"Advanced endoscopy (EUS‑guided gallbladder drainage, etc.)",2025 interventional GI adoption trends.,Gastroenterology
2026-01-01,2026-01-01-precision-imaging-ai-in-radiology-workflows,Precision imaging & AI in radiology workflows,2025 curricula emphasize AI‑aided diagnostics and triage.,Radiology
2026-01-02,2026-01-02-h-pylori-treatment-stop-defaulting-to-clarithro-triple,H. pylori treatment: stop defaulting to clarithro triple,ACG issued a 2024 guideline favoring 14-day optimized bismuth quadruple therapy,Treatment
2026-01-03,2026-01-03-pneumococcal-catch-up-for-adults-5064-with-no-prior-pcv,Pneumococcal catch-up for adults 50–64 with no prior PCV,ACIP’s Oct 2024 age expansion created new catch-up needs,Preventive
2026-01-04,2026-01-04-fertility-preservation-protocols-in-cancer-care,Fertility preservation protocols in cancer care,2025 standardization across oncology centers.,Reproductive Endocrinology/Oncology
2026-01-05,2026-01-05-endovascular-therapy-for-stroke-up-to-24hour-window,Endovascular therapy for stroke up to 24‑hour window,New data support extended time window with imaging selection.,Neurology/Neurointerventional
2026-01-06,2026-01-06-mriguided-hifu-for-prostate-cancer,MRI‑guided HIFU for prostate cancer,"Robotic, minimally invasive options expanding in 2025.",Urology
2026-01-07,2026-01-07-teleicu-and-remote-neuro-monitoring-expansion,Tele‑ICU and remote neuro monitoring expansion,Post‑COVID workforce models continue expanding in 2025.,Critical Care/Neurology
2026-01-08,2026-01-08-cap-outpatient-antibiotics-macrolide-resistance-and-local-antibiograms,CAP outpatient antibiotics: macrolide resistance and local antibiograms,Guidance updates and stewardship messaging in 2025,Treatment
2026-01-09,2026-01-09-nonalcoholic-fatty-liver-renamed-masld-what-primary-care-should-order,Nonalcoholic fatty liver renamed MASLD: what primary care should order,Terminology and care pathways reinforced 2024–2025,Treatment
2026-01-10,2026-01-10-rsv-vaccination-in-adults-who-should-get-it-6074-at-risk-75-all,RSV vaccination in adults: who should get it (60–74 at risk; ≥75 all),ACIP updated guidance for 2024–25 clarified risk-based vs age-based use,Preventive
2026-01-11,2026-01-11-rapid-correction-of-severe-hyponatremia-810-meq-24h-favored-over-very-slow-correction,Rapid correction of severe hyponatremia (8‑10 mEq/24h) favored over very slow correction,2025 meta‑analysis suggests lower mortality with faster correction.,Endocrinology/Nephrology
2026-01-12,2026-01-12-long-covid-outpatient-care-who-to-refer-and-what-to-monitor,Long COVID outpatient care: who to refer and what to monitor,New clinic models and evolving guidance through 2024–2025,Treatment
2026-01-13,2026-01-13-new-adult-pneumococcal-rules-incl-pcv21-capvaxive-and-routine-pcv-at-50,New adult pneumococcal rules incl. PCV21 (Capvaxive) and routine PCV at ≥50,PCV21 FDA-approved in 2024 and ACIP expanded routine PCV to adults ≥50 in Oct 2024,Preventive
2026-01-14,2026-01-14-opill-otc-norgestrel-implementation-in-primary-care,Opill (OTC norgestrel) implementation in primary care,OTC oral contraceptive availability expanded in 2024,Treatment
2026-01-15,2026-01-15-psoriatic-arthritis-treattotarget-and-imagingguided-monitoring,Psoriatic arthritis: treat‑to‑target and imaging‑guided monitoring,2024 consensus promotes closer derm‑rheum coordination.,Rheumatology/Dermatology
2026-01-16,2026-01-16-hiv-care-prevention-updated-perinatal-and-adult-prep-art-nuances,HIV care & prevention: updated perinatal and adult PrEP/ART nuances,"Multiple 2025 updates (e.g., lenacapavir PrEP; perinatal guidance)",Treatment
2026-01-17,2026-01-17-expanded-biologic-use-for-severe-asthma-tezepelumab-etc,Expanded biologic use for severe asthma (tezepelumab etc.),Guideline updates highlight earlier use of biologics.,Pulmonology/Allergy
2026-01-18,2026-01-18-reversal-of-anticoagulation-in-intracerebral-hemorrhage,Reversal of anticoagulation in intracerebral hemorrhage,New protocols for DOAC‑related bleeds in 2025.,Neurology/Neurosurgery
2026-01-19,2026-01-19-managing-adhd-meds-amid-ongoing-shortages-and-new-safety-labeling-6y,Managing ADHD meds amid ongoing shortages (and new safety labeling <6y),FDA safety/shortage updates persisted into 2025,Treatment
2026-01-20,2026-01-20-shorter-antibiotic-duration-7-vs-14-days-for-nonstaph-bloodstream-infections,Shorter antibiotic duration (7 vs 14 days) for non‑Staph bloodstream infections,BALANCE trial (2025) shows equivalence of 7 days.,Infectious Disease/Hospital Medicine
